,0
3016,"I’ve just had a great meal at The Shard. Arrived on my own, with no reservation and was quickly placed in a table by the window with a view to the tower bridge.
As soon as I arrived, I was presented with a complimentary glass...More"
3017,"Went for afternoon tea - very overpriced for what you get.
You are really paying for the view.
Will never come again.
For a far superior tea I would suggest the Savoy or one of the bigger London hotels.More"
3018,"The place is amazing 
Large space, nice atmosphere, good service and a very nice view. 
The guard in the reception very rude I really don’t like the way they speak with the guest and with my guests apart of this was all fabulous and service...More"
3019,"Belated review from a couple of months ago but just remembering to post now as a reminder to myself of the experience. 
Booked for afternoon tea, weather was rather grey and rainy that day but still enjoyed the view.
As expected the afternoon tea was...More"
3020,"We had breakfast at the shard and it was the best breakfast we’ve had in London . The pastries were devine  and the full English breakfast was cooked perfectly, presented exceptionally and very tasty . The poached eggs were the best I’ve ever had and...More"
3021,"We dined here as part of my 30th birthday weekend. The atmosphere is vibrant and there is a funky bar scene which isn't surprising as the cocktails are delicious. We had a fantastic table with a lovely view, and the actual waiting staff are very...More"
3022,"You go up in the lift and then down some steps to get to aqua shard.
I think the bar is split into a dining area and a drinking area but no one really approached us to explain the situation, to seat us or ask...More"
3023,"We only had a drink here, on the way to afternoon tea in the Gong bar. The layout is lovely and if you get a table by the window the view is amazing, looking out towards a Tower Bridge and is he a Tower of...More"
3024,Breath stopping view together with unique Japanese cocktails and food - what more we need :) Highly recommend!
3025,The meal we had at the aqua shard was good although a bit cold. But it was very expensive and a bit Pretentious. Service was ok and the food was tasty but I have had better meals for a lot less money.
3026,"Great view , surprisingly good food , service was good , would not recommend the potatoes . The waiter even took a great picture of me and the wife . We Waited at the bar for our table to be ready , made us carry...More"
3027,"We came for my husband’s birthday to enjoy the view and hopefully the food. The service from Luis was the highlight of the night. He was very friendly, knowledgable and managed to give us a window table, as we didn’t get one from the start....More"
3028,"As titled, the view is worth the trouble of admission.  What a great sight! The food was tasty, but perhaps leaves something to be desired for my American taste buds. Service was average.  The staff seemed slow to have interest in serving drinks, asking that...More"
3029,The bar was buzzing and open. Drinks very pricey and limited availability to sit. No seating at the bar. Views were magnificent but all in all not that great. Prefer Hutong Bar where it was more intimate and seemed less touristy.
3030,"We arrived early and our table was ready for us. The staff wished my friend a happy birthday and with her dessert she received a complementary happy birthday dessert. So, in that respect the service was good.
We had a window table with a wonderful...More"
